Date,SP_100,FS
12/3/1990,100,100
1/2/1991,105.1444584,102.8087212
2/1/1991,112.538733,105.9503074
3/1/1991,115.1275111,107.4440434
4/1/1991,115.3435777,108.0042076
5/1/1991,120.3460605,109.439314
6/3/1991,115.0211955,111.4493454
7/1/1991,120.778624,111.7841954
8/1/1991,122.1169965,114.0195798
9/3/1991,119.2472333,115.1654956
10/1/1991,120.8035199,116.0092798
11/1/1991,115.7494695,119.2438059
12/2/1991,127.0158574,119.2557308
1/2/1992,125.4851654,121.130707
2/3/1992,127.2814324,121.6405259
3/2/1992,125.1018889,124.9945562
4/1/1992,129.2731533,126.1750446
5/1/1992,129.9680156,129.7448962
6/1/1992,127.8598304,129.3950575
7/1/1992,132.1118815,130.9833461
8/3/1992,128.5207868,130.8655141
9/1/1992,128.7217847,131.9826119
10/1/1992,128.4262968,132.418874
11/2/1992,132.077376,134.1918089
12/1/1992,133.6392741,136.0156817
1/4/1993,135.5576327,137.878131
2/1/1993,137.8682627,137.7540965
3/1/1993,140.3971621,140.3402998
4/1/1993,138.2029283,142.8750091
5/3/1993,142.0129661,142.8607223
6/1/1993,142.0000832,145.2374786
7/1/1993,141.4745822,146.3893987
8/2/1993,146.4941795,146.4186796
9/1/1993,144.5006894,148.9439687
10/1/1993,147.0033673,149.3615962
11/1/1993,146.433141,151.9376419
12/1/1993,147.9898548,152.2265978
1/3/1994,153.8743249,152.8214408
2/1/1994,150.033185,156.0802325
3/1/1994,142.8849648,155.3949881
4/4/1994,144.1183119,157.6646306
5/2/1994,147.4428309,160.4480455
6/1/1994,142.9800301,161.1555723
7/1/1994,148.4227399,161.5266567
8/1/1994,153.0248598,164.3125137
9/1/1994,150.038758,164.8886151
10/3/1994,153.7121379,166.1299288
11/1/1994,148.2666652,169.1642584
12/1/1994,151.0683711,168.0850642
1/3/1995,154.1343016,169.0966062
2/1/1995,161.1733267,170.5400533
3/1/1995,166.4661073,171.7208488
4/3/1995,173.1701384,173.0655087
5/1/1995,180.4964172,175.8920028
6/1/1995,184.6275144,178.8182963
7/3/1995,190.9874567,179.5888706
8/1/1995,189.8003585,181.4300511
9/1/1995,199.3253176,180.9951411
10/2/1995,199.6203996,183.9695373
11/1/1995,207.7159383,186.8059142
12/1/1995,211.1984851,187.6296712
1/2/1996,220.2764831,189.5722439
2/1/1996,223.2659792,192.2833732
3/1/1996,225.5409416,193.5566406
4/1/1996,228.9640099,195.8149706
5/1/1996,235.0552471,196.934303
6/3/1996,236.0504811,199.5909827
7/1/1996,225.0986784,199.8905938
8/1/1996,230.3803365,203.6433513
9/3/1996,242.6022551,204.0510456
10/1/1996,250.0064701,206.4318195
11/1/1996,269.8675743,208.5690551
12/2/1996,265.4266553,211.7423459
1/2/1997,285.0645274,212.6122716
2/3/1997,284.3931832,217.7331403
3/3/1997,273.3079942,219.1968503
4/1/1997,291.8354621,220.9574582
5/1/1997,307.6405296,223.4014073
6/2/1997,321.0655908,224.6784314
7/1/1997,347.3445306,227.5727997
8/1/1997,325.1833559,229.1255682
9/2/1997,342.6281056,229.7680188
10/1/1997,328.0879318,235.160953
11/3/1997,345.5562195,236.3160694
12/1/1997,346.8381845,239.8635418
1/2/1998,354.1753767,240.7286068
2/2/1998,379.9246584,242.7835209
3/2/1998,401.0979184,245.7881991
4/1/1998,407.6021519,249.9523216
5/1/1998,402.703815,250.8537716
6/1/1998,422.9218053,255.1292261
7/1/1998,420.9420001,258.2608669
8/3/1998,360.4774097,260.231127
9/1/1998,378.1720653,260.7781865
10/1/1998,412.5900665,263.3463763
11/2/1998,444.326121,268.2904564
12/1/1998,465.8604676,270.3913046
1/4/1999,494.8688303,271.0952367
2/1/1999,478.750764,276.5440679
3/1/1999,501.4980392,276.8484338
4/1/1999,525.020594,283.0631977
5/3/1999,512.7789041,283.8852724
6/1/1999,549.4721252,288.031597
7/1/1999,533.9523831,292.9699916
8/2/1999,541.9615263,294.0265843
9/1/1999,527.3930427,296.5957753
10/1/1999,563.478951,298.5597816
11/1/1999,581.6293157,301.7111751
12/1/1999,625.3872894,306.3934885
1/3/2000,596.0797305,307.3755181
2/1/2000,584.8310227,314.0242418
3/1/2000,646.5490259,314.4327387
4/3/2000,621.0273205,320.0477444
5/1/2000,606.371678,320.913041
6/1/2000,630.4044825,325.1121455
7/3/2000,625.505497,327.4941479
8/1/2000,662.5278787,329.3991331
9/1/2000,609.5567307,333.57582
10/2/2000,603.5474948,334.1767972
11/1/2000,561.4789866,337.0631111
12/1/2000,553.795612,339.1593941
1/2/2001,578.0726321,340.3825683
2/1/2001,518.836723,347.745255
3/1/2001,479.9916642,348.0235626
4/2/2001,524.6550671,351.7674085
5/1/2001,526.2586256,356.2277188
6/1/2001,515.652628,357.155116
7/2/2001,508.5607068,357.7627961
8/1/2001,472.8591505,359.124881
9/4/2001,437.3992186,362.5165709
10/1/2001,447.5336246,364.9170932
11/1/2001,481.6208597,369.3963497
12/3/2001,482.0956884,373.6315629
1/2/2002,474.0808125,374.0801899
2/1/2002,465.7939734,373.9305878
3/1/2002,479.4963239,375.917681
4/1/2002,442.5959975,377.3866226
5/1/2002,440.7614195,381.5226371
6/3/2002,408.9784876,389.4245692
7/1/2002,383.6206768,390.1651792
8/1/2002,385.957171,403.2151079
9/3/2002,341.7448977,402.6912688
10/1/2002,379.3362436,402.9329561
11/1/2002,403.3379088,405.6011088
12/2/2002,375.3183595,405.9663141
1/2/2003,365.7249181,405.9663141
2/3/2003,360.3040171,404.5479157
3/3/2003,364.1796177,404.3456923
4/1/2003,395.8117975,411.8957099
5/1/2003,411.6065612,412.0192971
6/2/2003,418.5152341,415.7442078
7/1/2003,426.8933984,419.6286636
8/1/2003,431.1982313,425.4171368
9/2/2003,427.8878982,426.0983491
10/1/2003,447.1091048,429.7785973
11/3/2003,448.6029396,435.2280671
12/1/2003,475.3720465,434.6191742
1/2/2004,484.5048783,435.7070814
2/2/2004,489.0787592,439.5582239
3/1/2004,478.357334,441.4965413
4/1/2004,470.3418359,441.4523938
5/3/2004,474.9272319,443.0887932
6/1/2004,483.4472942,445.7107442
7/1/2004,470.1878459,451.1366044
8/2/2004,472.0340211,451.2268408
9/1/2004,469.4878071,456.9482683
10/1/2004,475.4607897,459.0550723
11/1/2004,491.1727938,459.1928094
12/1/2004,507.824827,462.8347995
1/3/2005,499.5714431,463.9469371
2/1/2005,508.9530258,466.3191104
3/1/2005,498.7408444,468.047687
4/1/2005,491.5924532,472.0430486
5/2/2005,502.9848079,472.7043716
6/1/2005,498.1975577,475.6918097
7/1/2005,512.1191057,477.8850326
8/1/2005,505.6338952,478.5066871
9/1/2005,508.8451803,479.2729106
10/3/2005,500.7518368,483.5574776
11/1/2005,517.7496522,491.4057621
12/1/2005,514.6045074,495.1051608
1/3/2006,523.5028424,497.7859603
2/1/2006,526.3430551,501.2826863
3/1/2006,533.6226736,502.2862549
4/3/2006,542.0283922,508.9094923
5/1/2006,529.6583784,513.7157958
6/1/2006,529.155052,517.3244218
7/3/2006,538.5454844,519.9695156
8/1/2006,551.7359475,525.5105078
9/1/2006,569.2986485,529.5725576
10/2/2006,589.2618801,533.1859225
11/1/2006,598.7269561,535.4300126
12/1/2006,609.7951934,540.0545678
1/3/2007,616.8324643,544.7190657
2/1/2007,596.6360022,546.3010438
3/1/2007,603.4664314,545.700443
4/2/2007,633.2153198,554.7237189
5/1/2007,654.7038854,560.1867364
6/1/2007,646.912051,564.7426756
7/2/2007,632.2029608,566.6660686
8/1/2007,644.3747651,567.6302202
9/4/2007,670.9578373,569.3926042
10/1/2007,681.5407364,574.9425864
11/1/2007,652.3078449,577.5934145
12/3/2007,647.5069916,583.6317308
1/2/2008,608.4260219,584.9756287
2/1/2008,581.6611967,588.6726084
3/3/2008,582.8383072,589.0259179
4/1/2008,609.8980151,590.0871194
5/1/2008,609.279107,595.6005272
6/2/2008,554.9721588,600.444483
7/1/2008,558.7120138,600.0843244
8/1/2008,566.3943833,604.4205231
9/2/2008,521.9900911,608.7271794
10/1/2008,446.663828,611.778437
